stationid	new_part	shahrestan	subbasin_i	Longitude	Latitude	new_elevation
51126	2	266	602	59.63	36.2	1033
51165	1	259	527	57.75	35.92	1687
51171	1	261	605	59.85	35.72	1384
51174	1	248	604	61.08	35.68	667
51175	1	259	529	58.1	35.67	1465
51179	1	261	605	59.95	35.6	1425
51182	1	249	531	59.18	35.55	1687
51191	1	248	605	60.32	35.42	1089
51196	1	249	520	59.22	35.27	1346
51199	1	248	605	60.58	35.25	953
51200	1	245	509	57.93	35.18	882
51202	1	248	605	60.9	35.13	780
51212	1	247	606	60.5	34.78	1133
51219	1	253	566	60.15	34.57	970
51221	1	270	517	58.4	34.35	1506
54001	1	149	580	61.5	31.37	473
54011	1	147	580	60.53	30.97	853
54016	1	137	586	61.7	30.92	492
54017	1	148	586	61.38	30.88	481
54019	1	137	586	61.8	30.85	500
54021	1	137	586	61.75	30.85	491
54026	1	148	586	61.4	30.75	478
54032	1	148	580	61.13	30.4	474
54038	1	136	487	60.1	30.1	1847
54044	1	136	585	60.8	29.7	1564
54053	1	136	480	59.7	29.43	510
54061	1	136	482	60.2	29.23	1408
54063	1	136	483	60.6	29.17	1709
54066	1	136	484	60.3	29.08	1397
54097	1	133	589	61.47	28.23	1321
54099	1	133	485	61.1	28.17	1459
54101	1	133	589	61.3	28.13	1370
54124	1	138	587	62.7	27.58	892
54132	1	132	452	60.8	27.38	746
54156	1	144	593	61.8	27.1	1254
54158	1	144	452	61.38	27.08	1516
54187	1	141	296	59.7	26.57	811
54197	1	146	295	59.58	26.35	482
54204	1	146	295	59.7	26.13	228
54216	1	143	300	60.5	25.57	26
54225	1	150	302	61.2	25.18	6
66075	2	230	91	46.78	34.22	1506
66137	2	286	136	48.75	32.82	1129
75201	1	0	365	51.32	36.13	2547
77446	1	277	577	60.49	32.29	1154
83091	2	230	91	46.67	34.38	1344
83112	2	230	91	46.82	34.27	1363
83121	2	234	58	46.12	34.18	1070
83129	2	232	87	47.45	34.12	1549
83152	2	172	61	46.21	33.59	780
86002	1	88	335	50.55	35.53	1443
86006	1	88	334	50.55	35.43	1380
86007	1	88	334	50.33	35.38	1367
86011	1	88	334	50.68	35.35	1190
86012	1	88	334	49.95	35.33	1895
86028	2	84	346	49.58	34.9	1650
86033	2	84	346	49.67	34.87	1437
86048	2	92	350	49.22	34.63	1666
86052	2	84	356	49.88	34.58	2074
86061	2	82	356	49.82	34.45	1810
86078	2	83	356	50.07	34.17	1699
86084	2	83	356	49.63	34.1	2196
86099	1	87	361	50.92	33.95	2057
86102	1	93	360	50.23	33.93	2202
86104	2	90	101	49.03	33.92	2186
88101	2	323	0	47.87722222	39.6075	71
88104	2	24	8	44.971667	38.423555	1191
88107	2	315	2	48.417193	38.329545	1322
88113	2	416	33	55.459931	37.384649	127
88116	2	110	31	53.19536	36.639605	4
88118	2	6	18	48.371343	36.771532	1631
88119	2	236	41	57.30333333	37.48722222	1069
88120	1	127	541	55.108003	36.428162	1288
